Address,Bedroom_Number,Price,Distance
"3 Arlington St, Cambridge, MA",1,2100.0,2.9140481338609927
"33 Putnam Ave #A, Cambridge, MA 02139",4,950.0,1.1823126449778256
"11 Pine St, Cambridge, MA",2,950.0,1.4732485251231848
" 240 Sidney St, Cambridge, MA",1,2578.0,1.2943612164647227
" 240 Sidney St, Cambridge, MA",1,2763.0,1.2943612164647227
" 240 Sidney St, Cambridge, MA",2,1896.5,1.2943612164647227
"Broadway, Cambridge, MA 02138",2,1250.0,0.7783357050394009
"262 Monsignor Obrien Hwy, Cambridge, MA",1,2600.0,2.3144890773700477
"262 Monsignor Obrien Hwy, Cambridge, MA",2,1400.0,2.3144890773700477
"50 John F Kennedy St, Cambridge, MA",1,2000.0,0.4628337321619179
"50 John F Kennedy St, Cambridge, MA",1,2000.0,0.4628337321619179
" 334 Harvard St, Cambridge, MA",1,2485.0,0.9507454223879126
"2 Athens St, Cambridge, MA 02138",3,1633.3333333333333,0.6237074774685092
"2440 Massachusetts Ave, Cambridge, MA",1,1995.0,2.098557044700246
"2440 Massachusetts Ave, Cambridge, MA",2,1350.0,2.098557044700246
" 130 Cambridgepark Dr, Cambridge, MA",1,2102.0,1.9998272740478023
" 130 Cambridgepark Dr, Cambridge, MA",1,2057.0,1.9998272740478023
" 130 Cambridgepark Dr, Cambridge, MA",2,1296.5,1.9998272740478023
" 87 New St, Cambridge, MA",1,2475.0,1.6449548150402773
" 87 New St, Cambridge, MA",2,1398.0,1.6449548150402773
" 87 New St, Cambridge, MA",3,1333.3333333333333,1.6449548150402773
"Cambridge St, Cambridge, MA 02138",1,2100.0,0.6529798587976023
"21 Ellery St, Cambridge, MA",1,2400.0,0.8131958050486003
"64 Amory St, Cambridge, MA 02139",5,1600.0,1.3379914483020088
"36 Hunting St, Cambridge, MA",1,1975.0,1.8917333357833443
"52 John F Kennedy St, Cambridge, MA",3,1416.6666666666667,0.4592472226558586
"33 Line St, Cambridge, MA",2,1525.0,1.2190283463791203
"33 Line St, Cambridge, MA",3,1116.6666666666667,1.2190283463791203
" 120 Rindge Ave, Cambridge, MA",2,1875.0,1.7025572939509233
" 120 Rindge Ave, Cambridge, MA",3,1461.6666666666667,1.7025572939509233
