Addresses,Prices
"21 Ellery St, Cambridge, MA","$2,400+ 1 bd"
"64 Amory St, Cambridge, MA 02139","$8,000/mo
5 bds4 ba2,200 sqft"
"71 Dana St APT 3, Cambridge, MA 02138","$1,500/mo
Studio1 ba350 sqft"
"36 Hunting St, Cambridge, MA","$1,975+ 1 bd"
"52 John F Kennedy St, Cambridge, MA","$4,250+ 3 bds"
"33 Line St, Cambridge, MA","$3,050 2 bds$3,350 3 bds"
"313 Cardinal Medeiros Ave #1, Cambridge, MA 02141","$2,500/mo
2 bds1 ba1,000 sqft"
"The Residences at Cambridge Terrace (Porter Square), 4 Bed / 2 Bath, Cambridge, MA 02140","$4,300/mo
4 bds2 ba1,600 sqft"
"74 Thorndike St APT 2, Cambridge, MA 02141","$2,000/mo
1 bd1 ba1,000 sqft"
"The Wyeth | 120 Rindge Ave, Cambridge, MA","$3,750+ 2 bds$4,385+ 3 bds"
"41 Speridakis Ter #41, Cambridge, MA 02139","$3,000/mo
3 bds1 ba1,200 sqft"
"660 Cambridge St APT 304, Cambridge, MA 02141","$2,815/mo
2 bds1 ba-- sqft"
"251 Western Ave #2, Cambridge, MA 02139","$2,500/mo
3 bds1 ba1,200 sqft"
"4 Mason St, Cambridge, MA","$2,500+ 1 bd"
"808 Memorial Dr | 808 Memorial Dr, Cambridge, MA","$2,300+ 1 bd$2,900+ 2 bds"
"81 Oxford St #1, Cambridge, MA 02138","$2,550/mo
2 bds1 ba800 sqft"
"237 Elm St #1, Cambridge, MA 02139","$3,500/mo
3 bds1 ba1,100 sqft"
"2520 Massachusetts Ave #2, Cambridge, MA 02140","$2,500/mo
2 bds2 ba1,500 sqft"
"15 Trowbridge St, Cambridge, MA","$2,200+ 1 bd"
"14 Concord Ave, Cambridge, MA","$2,200 1 bd$5,900 3 bds"
"14 Remington St APT 103, Cambridge, MA 02138","$1,800/mo
1 bd1 ba489 sqft"
"Clinton & Prospect Apartments, Two Bedroom - One Bath, Cambridge, MA 02139","$2,900+/mo
2 bds1 ba730 sqft"
"1008 Mass Ave | 1008 Massachusetts Ave, Cambridge, MA","$2,500+ Studio$3,000+ 1 bd$4,000+ 2 bds"
"The Holmes Building | 632 Massachusetts Ave, Cambridge, MA","$3,000 1 bd$3,500+ 2 bds"
"Magoun St, Cambridge, MA 02140","$2,700/mo
3 bds2 ba-- sqft"
"53 Trowbridge St, Cambridge, MA","$1,950+ 1 bd"
"Harvard St, Cambridge, MA 02139","$2,600/mo
2 bds1 ba1,000 sqft"
"9 5th St, Cambridge, MA 02141","$2,200/mo
1 bd1 ba745 sqft"
"18 Whittier St, Cambridge, MA","$2,150+ 1 bd"
"55 Magazine St, Cambridge, MA","$1,950+ 1 bd$3,300 2 bds"
"203 3rd St #3, Cambridge, MA 02141","$2,000/mo
2 bds1 ba9,999 sqft"
"48 Cedar St #A, Cambridge, MA 02140","$1,990/mo
2 bds1 ba800 sqft"
"100 Upland Rd #100, Cambridge, MA 02140","$2,200/mo
2 bds1 ba1,250 sqft"
"1600 Massachusetts Ave, Cambridge, MA","$2,875+ 2 bds"
"41 Hawthorn St, Cambridge, MA","$2,295+ 1 bd"
"1170 Massachusetts Ave APT 3, Cambridge, MA 02138","$2,100/mo
1 bd1 ba650 sqft"
"Broadway, Cambridge, MA 02139","$2,400/mo
3 bds1 ba-- sqft"
"54 Webster Ave APT 1L, Cambridge, MA 02141","$2,350/mo
2 bds1 ba750 sqft"
"117A Sciarappa St #A, Cambridge, MA 02141","$3,700/mo
3 bds2 ba1,800 sqft"
"6 Washington Ave APT 7, Cambridge, MA 02140","$2,450/mo
1 bd1 ba610 sqft"
